"region";"ålder";"kön";"2002";"2006";"2010";"2014"
"0114 Upplands Väsby";"totalt ålder";"män";18570;18776;19570;20872
"0114 Upplands Väsby";"totalt ålder";"kvinnor";18874;19072;19719;20944
"0115 Vallentuna";"totalt ålder";"män";12909;13899;15041;15964
"0115 Vallentuna";"totalt ålder";"kvinnor";12996;13969;15073;16005
"0117 Österåker";"totalt ålder";"män";17865;18975;19807;20705
"0117 Österåker";"totalt ålder";"kvinnor";17768;18904;19714;20475
"0120 Värmdö";"totalt ålder";"män";16523;18071;19382;20513
"0120 Värmdö";"totalt ålder";"kvinnor";16141;17732;18919;20028
"0123 Järfälla";"totalt ålder";"män";30326;30953;32976;35371
"0123 Järfälla";"totalt ålder";"kvinnor";30964;31389;33235;35330
"0125 Ekerö";"totalt ålder";"män";11403;12141;12680;13431
"0125 Ekerö";"totalt ålder";"kvinnor";11533;12160;12730;13267
"0126 Huddinge";"totalt ålder";"män";42897;44827;48848;52424
"0126 Huddinge";"totalt ålder";"kvinnor";43560;45355;48605;51761
"0127 Botkyrka";"totalt ålder";"män";37611;38871;41755;45155
"0127 Botkyrka";"totalt ålder";"kvinnor";37605;38682;40853;43746
"0128 Salem";"totalt ålder";"män";6845;7239;7603;7988
"0128 Salem";"totalt ålder";"kvinnor";7030;7476;7788;8152
"0136 Haninge";"totalt ålder";"män";35367;36496;38654;41619
"0136 Haninge";"totalt ålder";"kvinnor";35535;36460;38400;40788
"0138 Tyresö";"totalt ålder";"män";19671;20587;21417;22651
"0138 Tyresö";"totalt ålder";"kvinnor";20049;20889;21530;22739
"0139 Upplands-Bro";"totalt ålder";"män";10608;10707;11836;12675
"0139 Upplands-Bro";"totalt ålder";"kvinnor";10554;10931;11840;12612
"0140 Nykvarn";"totalt ålder";"män";4169;4392;4755;5015
"0140 Nykvarn";"totalt ålder";"kvinnor";4035;4217;4576;4800
"0160 Täby";"totalt ålder";"män";29647;30018;31441;33288
"0160 Täby";"totalt ålder";"kvinnor";30551;30988;32348;34046
"0162 Danderyd";"totalt ålder";"män";14434;14754;15150;15728
"0162 Danderyd";"totalt ålder";"kvinnor";15321;15738;16180;16567
"0163 Sollentuna";"totalt ålder";"män";28928;29936;32159;34511
"0163 Sollentuna";"totalt ålder";"kvinnor";29587;30592;32471;34814
"0180 Stockholm";"totalt ålder";"män";366190;380688;414702;449260
"0180 Stockholm";"totalt ålder";"kvinnor";391958;402197;432371;462729
"0181 Södertälje";"totalt ålder";"män";39763;40956;43447;46626
"0181 Södertälje";"totalt ålder";"kvinnor";39850;40835;42799;45609
"0182 Nacka";"totalt ålder";"män";37557;40521;44389;47595
"0182 Nacka";"totalt ålder";"kvinnor";39067;41900;45719;48622
"0183 Sundbyberg";"totalt ålder";"män";16485;17001;19210;22019
"0183 Sundbyberg";"totalt ålder";"kvinnor";17312;17528;19423;22071
"0184 Solna";"totalt ålder";"män";27718;30085;33639;36731
"0184 Solna";"totalt ålder";"kvinnor";29867;31632;34505;37310
"0186 Lidingö";"totalt ålder";"män";19636;20280;21173;22051
"0186 Lidingö";"totalt ålder";"kvinnor";21556;22041;22844;23414
"0187 Vaxholm";"totalt ålder";"män";4763;5136;5422;5626
"0187 Vaxholm";"totalt ålder";"kvinnor";4868;5304;5543;5703
"0188 Norrtälje";"totalt ålder";"män";26929;27439;28031;28951
"0188 Norrtälje";"totalt ålder";"kvinnor";26773;27397;28049;28617
"0191 Sigtuna";"totalt ålder";"män";17833;18414;19976;22156
"0191 Sigtuna";"totalt ålder";"kvinnor";17938;18562;20014;21929
"0192 Nynäshamn";"totalt ålder";"män";12313;12534;13137;13679
"0192 Nynäshamn";"totalt ålder";"kvinnor";12215;12458;12895;13362
"0305 Håbo";"totalt ålder";"män";9118;9404;9943;10128
"0305 Håbo";"totalt ålder";"kvinnor";8746;9233;9686;9906
"0319 Älvkarleby";"totalt ålder";"män";4495;4613;4652;4696
"0319 Älvkarleby";"totalt ålder";"kvinnor";4475;4497;4451;4473
"0330 Knivsta";"totalt ålder";"män";6317;6809;7411;8119
"0330 Knivsta";"totalt ålder";"kvinnor";6269;6788;7313;7986
"0331 Heby";"totalt ålder";"män";7035;6931;6863;6911
"0331 Heby";"totalt ålder";"kvinnor";6690;6599;6519;6579
"0360 Tierp";"totalt ålder";"män";10094;10031;10169;10226
"0360 Tierp";"totalt ålder";"kvinnor";9994;9912;9956;10019
"0380 Uppsala";"totalt ålder";"män";87323;90486;97332;102295
"0380 Uppsala";"totalt ålder";"kvinnor";92350;94701;100455;105067
"0381 Enköping";"totalt ålder";"män";18780;19143;19852;20688
"0381 Enköping";"totalt ålder";"kvinnor";18867;19343;19907;20475
"0382 Östhammar";"totalt ålder";"män";11117;10924;10955;10965
"0382 Östhammar";"totalt ålder";"kvinnor";10710;10511;10418;10409
"0428 Vingåker";"totalt ålder";"män";4599;4652;4503;4541
"0428 Vingåker";"totalt ålder";"kvinnor";4582;4560;4390;4378
"0461 Gnesta";"totalt ålder";"män";4912;5008;5137;5246
"0461 Gnesta";"totalt ålder";"kvinnor";4901;4973;5223;5267
"0480 Nyköping";"totalt ålder";"män";24268;24668;25436;26485
"0480 Nyköping";"totalt ålder";"kvinnor";25042;25523;26208;27023
"0481 Oxelösund";"totalt ålder";"män";5672;5632;5662;5883
"0481 Oxelösund";"totalt ålder";"kvinnor";5511;5479;5531;5668
"0482 Flen";"totalt ålder";"män";8286;8167;8128;8294
"0482 Flen";"totalt ålder";"kvinnor";8234;8055;7900;7948
"0483 Katrineholm";"totalt ålder";"män";15913;15799;16040;16617
"0483 Katrineholm";"totalt ålder";"kvinnor";16468;16230;16388;16651
"0484 Eskilstuna";"totalt ålder";"män";44568;45668;47869;50268
"0484 Eskilstuna";"totalt ålder";"kvinnor";45521;46582;48442;50655
"0486 Strängnäs";"totalt ålder";"män";14848;15461;16105;16900
"0486 Strängnäs";"totalt ålder";"kvinnor";15167;15691;16314;16978
"0488 Trosa";"totalt ålder";"män";5222;5422;5707;5914
"0488 Trosa";"totalt ålder";"kvinnor";5292;5529;5755;5950
"0509 Ödeshög";"totalt ålder";"män";2781;2690;2616;2641
"0509 Ödeshög";"totalt ålder";"kvinnor";2785;2743;2668;2599
"0512 Ydre";"totalt ålder";"män";2055;1980;1905;1878
"0512 Ydre";"totalt ålder";"kvinnor";1949;1842;1767;1782
"0513 Kinda";"totalt ålder";"män";5038;4962;4931;4923
"0513 Kinda";"totalt ålder";"kvinnor";4976;4956;4831;4872
"0560 Boxholm";"totalt ålder";"män";2717;2690;2659;2702
"0560 Boxholm";"totalt ålder";"kvinnor";2574;2536;2562;2620
"0561 Åtvidaberg";"totalt ålder";"män";5981;5896;5817;5773
"0561 Åtvidaberg";"totalt ålder";"kvinnor";5906;5879;5687;5699
"0562 Finspång";"totalt ålder";"män";10730;10551;10506;10747
"0562 Finspång";"totalt ålder";"kvinnor";10478;10261;10241;10403
"0563 Valdemarsvik";"totalt ålder";"män";4164;4022;3897;3914
"0563 Valdemarsvik";"totalt ålder";"kvinnor";4066;4016;3863;3743
"0580 Linköping";"totalt ålder";"män";67773;69725;74113;76939
"0580 Linköping";"totalt ålder";"kvinnor";67293;68855;72303;74942
"0581 Norrköping";"totalt ålder";"män";60799;61994;64556;67233
"0581 Norrköping";"totalt ålder";"kvinnor";62504;63469;65494;68050
"0582 Söderköping";"totalt ålder";"män";7044;6992;7029;7165
"0582 Söderköping";"totalt ålder";"kvinnor";6965;7059;6995;7103
"0583 Motala";"totalt ålder";"män";20998;20915;21027;21415
"0583 Motala";"totalt ålder";"kvinnor";21080;21044;20928;21141
"0584 Vadstena";"totalt ålder";"män";3723;3690;3602;3619
"0584 Vadstena";"totalt ålder";"kvinnor";3906;3851;3789;3774
"0586 Mjölby";"totalt ålder";"män";12604;12677;13001;13336
"0586 Mjölby";"totalt ålder";"kvinnor";12549;12671;12855;13092
"0604 Aneby";"totalt ålder";"män";3340;3317;3281;3302
"0604 Aneby";"totalt ålder";"kvinnor";3291;3234;3112;3124
"0617 Gnosjö";"totalt ålder";"män";5110;4903;4900;4891
"0617 Gnosjö";"totalt ålder";"kvinnor";4887;4695;4646;4618
"0642 Mullsjö";"totalt ålder";"män";3566;3551;3528;3547
"0642 Mullsjö";"totalt ålder";"kvinnor";3558;3524;3505;3562
"0643 Habo";"totalt ålder";"män";4812;5111;5420;5617
"0643 Habo";"totalt ålder";"kvinnor";4772;5011;5321;5493
"0662 Gislaved";"totalt ålder";"män";15174;14861;14706;14541
"0662 Gislaved";"totalt ålder";"kvinnor";14802;14466;14405;14196
"0665 Vaggeryd";"totalt ålder";"män";6287;6432;6534;6648
"0665 Vaggeryd";"totalt ålder";"kvinnor";6316;6384;6457;6581
